cid,text,time,author,channel,votes,photo,heart
UgzFjB-N23Kfl0b6r514AaABAg,"pleasee dont stop make musik

this musik really really aestetick love it",7 months ago,INFO GP21,UCv4Jv9MuJWsHXjc7mhe6UAQ,1,https://yt3.ggpht.com/eBu-I1S_r9TJ1r3t2_bXT_DerFZfEw9gXA__q50efQyNwd_Djt2sn0JWz9-Gtk29hK1Fk24GFlk=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpLW01JRrksS8YSZR4AaABAg,Excelente!!,7 months ago,christ lov,UCPFWDVK3qO8kynzx2YvjiLA,0,https://yt3.ggpht.com/ytc/AKedOLQLQYdnBUeNxicXkeu0mdWV2Y8PoVKIdRQ4dB4z7uo=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPgsez5eid48bwhYl4AaABAg,This song makes me feel like walking in a city after the fall of humanity and there is nothing left in the world,7 months ago,my gaming logic,UCcM1NIm5EHLdJ8tIOE0-Qfw,0,https://yt3.ggpht.com/ytc/AKedOLS98qBRsSv_PDqdQRVEmj5YLe8z6GAmDedUz5d--A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwb3wN63vc2TJ7_Cpl4AaABAg,❤️,7 months ago,Jhuel Dual Ticona Luque,UCbNts8_fm14H4s6OJipuAZg,0,https://yt3.ggpht.com/ytc/AKedOLSWgMvQjadRthhcEhCP1ek2sWLw8QwcHB_jcjYiBQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugye6lySdSABHR3lY6N4AaABAg,"Всегда подозревал , что бы инопланетяне. 
Музыка супер.  В центр души.",7 months ago,Alexander A,UCZSmaianHvZ8rVFix6PXf2Q,0,https://yt3.ggpht.com/ytc/AKedOLSoPUfQ4qBEPVNCWuVoh49e2wQHtyY1Bk3jnWnKXA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyd1Gs5rutHX2iGsRR4AaABAg,Great one!,7 months ago,Poetnsen,UCGNe4EEv0bLxnaNRsbmBYyw,1,https://yt3.ggpht.com/ytc/AKedOLQg_8rO-s-E7xY5paksP7JPyzKGn6Lgo68sWC8-DA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwn3bznQOmRJJt2q5V4AaABAg,@2:08....here we go boys and girls.........,8 months ago,I know you’re Right,UC8N5jPOpVwh6rCgHoDUE54A,0,https://yt3.ggpht.com/ytc/AKedOLTkBudcW72FC6WoQuRHmr_rrBbdO9a2ISr2_A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8wzs0bQYRd2jGEN94AaABAg,Midnight sity the best.,8 months ago,Funny Valentine,UCp7HIV0ivM3xNioyYEgnUyQ,0,https://yt3.ggpht.com/ytc/AKedOLTUcKjyQClIRRyiE1T-3hPCr9ycpQYqlgnKfoDPOg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSzgnpnQxe2_PAFMl4AaABAg.9O_9KuQnfOY9QAwS7XNM4O,Dude i though the same listening those synth chords. Awesome.,5 months ago,Jose Mourinho,UCpyRJD6uvuxgcSGaFfGFuOQ,0,https://yt3.ggpht.com/ytc/AKedOLQOTw0WVN_B7YnRw4u9VK_kT1bKFbvejUVLAA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzwpGuNOkTXLBWduP14AaABAg,He's back! Finally some new playlist spots!!!,8 months ago (edited),LeoNegrete84,UC2m4-6y_VzcMG06xd7KbmXQ,0,https://yt3.ggpht.com/ytc/AKedOLRo5xngGH-zopvV7U7QD0UiFt5KqwyDAF2g5g=s176-c-k-c0x00ffffff-no-rj,0.0
